service_id,date,exception_type
10194,20121130,1
10194,20121101,1
10194,20121102,1
10194,20121201,1
10194,20121202,1
10194,20121208,1
10194,20121118,2
10194,20121201,2
10194,20121202,2
10194,20121104,2
10193,20121112,2
10193,20121113,2
10193,20121114,2
10193,20121115,2
10193,20121118,2
10193,20121201,2
10193,20121202,2
10193,20121119,2
10193,20121120,2
10193,20121121,2
10193,20121122,2
10193,20121124,2
10193,20121125,2
10204,20121110,1
10204,20121111,1
10204,20121101,1
10204,20121102,1
10204,20121103,1
10204,20121208,1
10434,20121125,2
10434,20121203,2
10434,20121204,2
10434,20121205,2
10434,20121206,2
10434,20121207,2
10437,20121124,2
10553,20130122,2
10553,20130123,2
10553,20130124,2
10553,20130125,2
10555,20121105,2
10555,20121106,2
10555,20121107,2
10555,20121108,2
10554,20121030,2
10554,20121031,2
10554,20121101,2
10538,20121105,2
10538,20121106,2
10538,20121107,2
10538,20121108,2
10538,20121104,2
10550,20121127,1
10550,20121128,1
10550,20121129,1
10550,20121130,1
10550,20121201,1
10550,20121110,1
10550,20121101,1
10550,20121102,1
10550,20121103,1
10550,20121204,1
10550,20121205,1
10550,20121206,1
10550,20121207,1
10550,20121208,1
10550,20121105,2
10541,20130107,2
10541,20130108,2
10541,20130109,2
10541,20130110,2
10541,20130111,2
10541,20130114,2
10541,20130115,2
10541,20130116,2
10541,20130117,2
10541,20130118,2
10549,20121105,2
10549,20121106,2
10549,20121107,2
10549,20121108,2
10549,20121112,2
10549,20121113,2
10549,20121114,2
10549,20121115,2
10549,20121116,2
10543,20130108,2
10543,20130109,2
10543,20130110,2
10543,20130111,2
10543,20130112,2
10543,20130115,2
10543,20130116,2
10543,20130117,2
10543,20130118,2
10543,20130119,2
10540,20121110,1
10540,20121127,1
10540,20121128,1
10540,20121129,1
10540,20121130,1
10540,20121201,1
10540,20121101,1
10540,20121102,1
10540,20121103,1
10540,20121204,1
10540,20121205,1
10540,20121206,1
10540,20121207,1
10540,20121208,1
10540,20121105,2
10540,20121202,2
10540,20121203,2
10558,20130128,1
10558,20130129,1
10558,20130130,1
10558,20130131,1
10558,20130201,1
10558,20130204,1
10558,20130205,1
10558,20130206,1
10558,20130207,1
10558,20130208,1
10558,20130123,2
