service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10206,0,0,0,0,1,0,0,20121101,20121208
10207,0,0,0,0,1,0,0,20121029,20121208
10195,0,0,0,0,1,1,1,20121101,20121208
10193,1,1,1,1,1,1,1,20121029,20121208
10204,0,0,0,0,0,0,0,20121101,20121208
10435,1,1,0,0,0,0,0,20121029,20121030
10434,1,1,1,1,1,1,1,20121029,20121208
10439,1,1,1,1,1,0,0,20121119,20121207
10437,0,0,0,0,0,1,0,20121103,20130202
10533,0,1,1,1,1,0,0,20130122,20130201
10532,1,0,0,0,0,0,0,20121029,20121105
10552,0,1,1,1,1,0,0,20130122,20130125
10553,1,1,1,1,1,1,1,20121209,20130208
10555,1,1,1,1,1,0,0,20121031,20121207
10554,1,1,1,1,1,0,0,20121029,20121207
10538,1,1,1,1,1,1,1,20121031,20121208
10550,1,0,0,0,0,0,1,20121101,20121208
10541,1,1,1,1,1,1,1,20121209,20130208
10549,1,1,1,1,1,1,1,20121031,20121208
10543,1,1,1,1,1,1,1,20121209,20130208
10540,1,0,0,0,0,0,1,20121101,20121208
10556,1,1,1,1,1,0,0,20121031,20121207
10546,1,1,1,1,1,0,0,20121029,20121207
10536,0,1,1,1,1,0,0,20130129,20130201
10534,1,1,1,1,1,1,1,20121209,20130208
10537,1,1,1,1,1,1,1,20121029,20121208
10535,1,1,1,1,1,1,1,20121209,20130208
10548,1,1,1,1,1,1,1,20121029,20121208
10539,1,1,1,1,1,1,1,20121029,20121208
10542,0,0,0,0,0,1,1,20121031,20121208
10544,1,1,1,1,1,1,1,20121202,20130208
10560,1,1,1,1,1,1,1,20121031,20121208
10562,0,0,0,0,0,1,1,20121101,20121208
10563,1,1,1,1,1,0,0,20121031,20121207
10561,1,1,1,1,1,1,1,20121029,20121208
10292,1,1,1,1,1,0,0,20121119,20121130
10289,1,1,1,1,1,0,0,20130114,20130118
10291,1,1,1,1,1,1,0,20121029,20121118
10294,0,1,1,1,1,0,0,20121030,20121118
10295,1,0,0,0,0,0,0,20121029,20121207
10290,1,1,1,1,1,1,0,20121210,20130204
10284,1,1,1,1,1,1,1,20121209,20130204
10286,1,1,1,1,1,1,0,20121029,20121208
10681,1,1,1,1,1,0,0,20121029,20121207
10678,0,0,0,0,0,0,1,20121209,20130127
10677,0,0,0,0,0,1,1,20121101,20130127
10679,0,0,0,0,0,1,1,20121101,20121208
10674,0,1,1,1,1,1,1,20121029,20121208
10673,1,1,1,1,1,1,1,20121101,20121208
10671,0,1,1,1,1,1,0,20121127,20121201
10672,0,0,0,0,0,0,0,20121029,20121130
10676,1,1,1,1,1,1,0,20121101,20121208
10663,0,0,0,0,0,0,1,20121112,20121125
10713,0,0,0,0,0,0,0,20121211,20130202
10717,1,1,1,1,1,1,1,20121029,20130208
10715,0,0,0,0,0,1,1,20121101,20130127
10716,1,1,1,1,1,1,1,20121029,20130208
10714,0,0,0,0,0,1,1,20121101,20130203
10694,0,0,0,0,0,0,0,20121112,20130208
10691,0,0,0,0,0,1,0,20121029,20121208
10723,1,1,1,1,1,1,1,20121209,20130208
10698,1,1,1,1,1,1,1,20121029,20121208
10721,1,0,0,0,0,0,0,20121210,20130128
10724,1,1,1,0,0,0,0,20121029,20121031
10719,1,1,1,1,0,0,0,20121029,20130207
10686,1,1,1,1,1,0,0,20121112,20130208
10656,0,0,0,0,1,0,0,20121102,20130208
10731,1,0,0,0,0,0,0,20121102,20121203
10720,1,1,1,1,1,0,0,20121102,20121207
10718,0,0,0,0,0,0,1,20121101,20130203
10682,0,0,0,0,0,0,0,20121016,20130208
10727,0,1,1,1,1,1,0,20121030,20121208
10729,1,1,1,1,1,1,1,20121210,20130127
10726,0,0,0,0,0,1,1,20121112,20121208
10711,0,0,0,0,0,1,1,20121215,20130127
10730,0,0,0,0,0,1,1,20121112,20121125
10700,0,0,0,0,0,1,0,20121016,20130208
10697,1,1,1,1,1,0,0,20121029,20121207
10695,1,1,1,1,1,1,1,20121029,20121208
10707,1,1,1,1,1,1,0,20121029,20121208
10708,0,0,0,0,0,0,0,20121016,20130208
10706,1,1,1,1,1,1,0,20121210,20130208
10705,0,0,0,1,0,0,0,20121016,20130208
10710,1,1,1,1,1,0,0,20121210,20130125
10709,1,1,1,1,1,0,0,20121210,20130208
10704,0,0,0,0,0,0,0,20121016,20130208
10701,0,0,0,0,0,1,1,20121112,20121125
10703,0,0,0,0,0,1,1,20121209,20130127
10702,0,0,0,0,0,1,1,20121101,20121208
10688,1,1,1,1,1,0,1,20121104,20130208
10689,1,1,1,1,1,0,0,20121029,20130208
10690,1,1,1,1,1,1,1,20121029,20130208
10692,0,0,0,0,0,0,1,20121016,20130208
10684,0,0,0,0,0,1,0,20121101,20121208
10685,0,0,0,0,0,1,0,20121103,20130126
10687,1,1,1,1,1,0,0,20121112,20130208
10773,1,1,1,1,1,1,1,20121029,20130208
